Cód Origem,Type,Voos Semanais,Diário,COMPRIMENTO_MAX,LATITUDE,LONGITUDE,Cod_4000,Dist_4000,Comp_4000,Lat_4000,Lon_4000,Cod_6000,Dist_6000,Comp_6000,Lat_6000,Lon_6000,Cod_8000,Dist_8000,Comp_8000,Lat_8000,Lon_8000,Cod_10000,Dist_10000,Comp_10000,Lat_10000,Lon_10000,Cod_12000,Dist_12000,Comp_12000,Lat_12000,Lon_12000
SBAC,Turboprop,2,False,5905.511811023622,-4.568611111111111,-37.80472222222222,SBAC,0.0,5905.511811023622,-4.568611111111111,-37.80472222222222,SBMS,45.89878479533837,6561.679790026246,-5.195833333333334,-37.361666666666665,SBFZ,64.36413899060945,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBPL,330.45371462758743,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1134.8333450808684,13123.359580052493,-22.810000000000002,-43.25055555555556
SBAE,Narrow Body,2,False,6594.488188976377,-22.157777777777778,-49.068333333333335,SBAE,0.0,6594.488188976377,-22.157777777777778,-49.068333333333335,SBAE,0.0,6594.488188976377,-22.157777777777778,-49.068333333333335,SBGP,43.85050784171858,9842.51968503937,-21.764444444444443,-48.40472222222222,SBKP,118.77945645301168,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,162.90564798029666,12139.107611548556,-23.435555555555556,-46.473055555555554
SBAE,Turboprop,12,False,6594.488188976377,-22.157777777777778,-49.068333333333335,SBAE,0.0,6594.488188976377,-22.157777777777778,-49.068333333333335,SBAE,0.0,6594.488188976377,-22.157777777777778,-49.068333333333335,SBGP,43.85050784171858,9842.51968503937,-21.764444444444443,-48.40472222222222,SBKP,118.77945645301168,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,162.90564798029666,12139.107611548556,-23.435555555555556,-46.473055555555554
SBAR,Narrow Body,44,True,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBMO,116.22302768668213,8536.745406824146,-9.517222222222223,-35.78361111111111,SBPL,227.99112236947374,10662.72965879265,-9.3675,-40.56361111111111,SBGL,790.579584305748,13123.359580052493,-22.810000000000002,-43.25055555555556
SBAR,Regional Jet,6,False,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBMO,116.22302768668213,8536.745406824146,-9.517222222222223,-35.78361111111111,SBPL,227.99112236947374,10662.72965879265,-9.3675,-40.56361111111111,SBGL,790.579584305748,13123.359580052493,-22.810000000000002,-43.25055555555556
SBAR,Turboprop,23,False,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBAR,0.0,7217.847769028871,-10.985277777777776,-37.07333333333334,SBMO,116.22302768668213,8536.745406824146,-9.517222222222223,-35.78361111111111,SBPL,227.99112236947374,10662.72965879265,-9.3675,-40.56361111111111,SBGL,790.579584305748,13123.359580052493,-22.810000000000002,-43.25055555555556
SBAT,Regional Jet,7,True,8202.099737532808,-9.866388888888888,-56.105000000000004,SBAT,0.0,8202.099737532808,-9.866388888888888,-56.105000000000004,SBAT,0.0,8202.099737532808,-9.866388888888888,-56.105000000000004,SBAT,0.0,8202.099737532808,-9.866388888888888,-56.105000000000004,SBAN,564.9271405440488,10827.0,-16.2292,-48.964298,SLCB,741.1506952168501,12460.0,-17.421100616455078,-66.17710113525389
SBAU,Turboprop,18,True,6955.380577427821,-21.144166666666667,-50.42638888888889,SBAU,0.0,6955.380577427821,-21.144166666666667,-50.42638888888889,SBAU,0.0,6955.380577427821,-21.144166666666667,-50.42638888888889,SBGP,119.06891525223035,9842.51968503937,-21.764444444444443,-48.40472222222222,SBKP,214.60062935432808,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,259.12838067648323,12139.107611548556,-23.435555555555556,-46.473055555555554
SBAX,Turboprop,1,False,6233.595800524934,-19.560555555555556,-46.96555555555556,SBAX,0.0,6233.595800524934,-19.560555555555556,-46.96555555555556,SBAX,0.0,6233.595800524934,-19.560555555555556,-46.96555555555556,SBGP,154.6395202997794,9842.51968503937,-21.764444444444443,-48.40472222222222,SBKP,206.25791486434548,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,233.30331976237974,12139.107611548556,-23.435555555555556,-46.473055555555554
SBBE,Narrow Body,151,True,9186.351706036745,-1.3847222222222222,-48.47888888888889,SBBE,0.0,9186.351706036745,-1.3847222222222222,-48.47888888888889,SBBE,0.0,9186.351706036745,-1.3847222222222222,-48.47888888888889,SBBE,0.0,9186.351706036745,-1.3847222222222222,-48.47888888888889,SOCA,437.68154786340017,10486.0,4.819809913639999,-52.360401153599994,SBGL,1315.8080681195363,13123.359580052493,-22.810000000000002,-43.25055555555556
